pitch_num,pitcher_id,Type,Location,Call,Swinging,Barrell,Balls,Strikes,Velocity,AtBatId
1,15,FB,17,B,,,0,0,78,1
2,15,FB,6,S,N,,1,0,78,1
3,15,FB,5,S,Y,,1,1,77,1
4,15,CV,21,B,,,1,2,69,1
5,15,FB,17,B,,,2,2,81,1
6,15,FB,15,B,,,3,2,81,1
7,15,FB,19,B,,,0,0,79,2
8,15,FB,11,B,,,1,0,78,2
9,15,FB,5,S,Y,,2,0,76,2
10,15,CV,20,B,,,2,1,67,2
11,15,FB,6,S,Y,Y,3,1,77,2
12,15,CV,18,S,Y,,0,0,68,3
13,15,CV,23,B,,,0,1,69,3
14,15,FB,4,S,Y,,1,1,80,3
15,15,CV,9,S,Y,,1,2,70,3
16,15,FB,4,S,Y,N,1,2,78,3
17,15,FB,17,B,,,0,0,79,4
18,15,FB,6,S,Y,N,1,0,78,4
19,15,FB,1,S,Y,Y,0,0,78,5
20,15,FB,9,S,N,,0,0,81,6
21,15,CV,17,B,,,0,1,68,6
22,15,FB,17,B,,,1,1,79,6
23,15,FB,3,S,Y,N,2,1,80,6
24,7,FB,10,B,,,0,0,78,7
25,7,FB,10,B,,,1,0,78,7
26,7,FB,4,S,Y,Y,2,0,78,7
27,7,FB,6,S,Y,Y,0,0,78,8
28,7,CB,25,B,,,0,0,65,9
29,7,FB,10,B,,,0,0,78,9
30,7,FB,25,B,,,1,0,78,9
31,7,FB,8,S,,,2,0,77,9
32,7,CH,4,S,Y,N,2,0,72,9
33,7,FB,9,S,Y,Y,0,0,77,10
34,7,CV,6,S,,,0,0,66,11
35,7,CH,4,S,Y,,0,1,72,11
36,7,FB,5,S,Y,,0,2,79,11
37,7,CV,23,S,Y,,0,2,66,11
38,7,FB,4,S,Y,Y,0,2,66,11
39,7,FB,4,S,Y,Y,0,0,76,12
40,7,FB,19,B,,,0,0,78,13
41,7,FB,14,B,,,1,0,78,13
42,7,CB,23,B,,,2,0,61,13
43,7,FB,17,B,,,3,0,75,13
44,7,FB,9,S,,,0,0,76,14
45,7,CB,17,S,Y,,0,1,64,14
46,7,FB,18,B,,,0,2,76,14
47,7,FB,24,B,,,1,2,78,14
48,7,FB,8,S,Y,,2,2,0,14
49,7,CB,6,S,Y,,2,2,0,14
50,7,FB,28,B,,,2,2,78,14
51,7,CB,19,B,,,3,2,63,14
52,7,FB,24,B,,,0,0,75,15
53,7,FB,21,B,,,0,0,76,16
54,7,FB,4,S,Y,Y,1,0,74,16
55,2,FB,1,S,Y,,0,0,86,17
56,2,FB,7,S,,,0,1,86,18
57,2,FB,24,S,Y,,0,2,86,18
58,2,CV,25,B,,,0,2,73,18
59,2,FB,6,S,N,,1,2,88,18
60,2,CH,23,B,,,0,0,77,19
61,2,FB,1,S,Y,,1,0,87,19
62,2,CV,11,B,,,1,1,74,19
63,2,FB,6,S,,,2,1,86,19
64,2,CH,7,S,Y,,2,2,75,19
65,2,FB,4,S,Y,,2,2,88,19
66,2,CV,25,B,,,2,2,70,19
67,2,FB,4,S,Y,Y,3,2,86,19
68,2,FB,11,B,,,0,0,88,20
69,2,FB,2,S,Y,,1,0,86,20
70,2,CH,7,S,Y,,1,1,75,20
71,2,FB,11,S,,,1,2,88,20
72,2,CH,7,S,Y,N,1,2,76,20
73,2,FB,12,S,Y,,0,0,0,21
74,2,FB,18,B,,,0,1,80,21
75,2,CV,19,S,,,1,1,69,21
76,2,CH,11,B,,,1,2,0,21
77,2,CV,5,S,,,2,2,64,21
78,2,FB,18,B,,,0,0,80,22
79,2,CH,4,S,,,1,0,0,22
80,2,FB,17,B,,,1,1,0,22
81,2,CV,22,B,,,2,1,0,22
82,2,FB,19,B,,,3,1,0,22
83,2,CH,11,B,,,0,0,72,23
84,2,FB,5,S,Y,Y,1,0,87,23
85,2,FB,21,B,,,0,0,80,24
86,2,CV,4,S,,,1,0,66,24
87,2,FB,6,S,,,1,1,83,24
88,2,FB,10,B,,,1,2,79,24
89,2,CV,11,B,,,2,2,0,24
90,2,CV,15,B,,,3,2,67,24
91,2,FB,16,B,,,0,0,86,25
92,2,FB,6,S,,,1,0,86,25
93,2,FB,5,S,Y,N,1,1,86,25
94,2,CV,11,B,,,0,0,65,26
95,2,FB,18,B,,,1,0,80,26
96,2,FB,11,B,,,2,0,81,26
97,2,FB,10,S,,,3,0,0,26
98,2,FB,6,S,,,3,1,0,26
99,2,FB,13,S,Y,,3,2,85,26
100,2,FB,15,B,,,3,2,83,26
101,2,FB,6,S,,,0,0,82,27
102,2,CV,10,B,,,0,1,67,27
103,2,FB,10,S,Y,,1,1,83,27
104,2,CH,18,S,,,1,2,72,27
